;Postal Code;City;Administrative Region;Population;Area km²;Population density per km²;Median Age;Neighborhoods;Latitude;Longitude
71;12105;Berlin;Berlin;14331;2.384;6011.33;43.0;Bezirk Tempelhof-Schöneberg, Mariendorf;52.45147545654219;13.37658940595074
72;12107;Berlin;Berlin;29149;5.2;5605.58;43.0;Bezirk Tempelhof-Schöneberg, Mariendorf;52.43488357781039;13.392264738356763
73;12109;Berlin;Berlin;16506;2.825;5842.83;43.0;Bezirk Tempelhof-Schöneberg, Mariendorf;52.44883824575356;13.403417337260652
74;12157;Berlin;Berlin;12833;2.452;5233.69;43.0;Bezirk Steglitz-Zehlendorf, Bezirk Tempelhof-Schöneberg, Schöneberg;52.467615807440936;13.351328965881812
75;12159;Berlin;Berlin;8325;1.116;7459.68;43.0;Bezirk Tempelhof-Schöneberg, Friedenau;52.47596418071045;13.339993978858905
76;12161;Berlin;Berlin;8310;1.046;7944.55;43.0;Bezirk Steglitz-Zehlendorf, Bezirk Tempelhof-Schöneberg, Friedenau;52.472189749196886;13.329513250149793
77;12163;Berlin;Berlin;11645;1.535;7586.32;43.0;Bezirk Steglitz-Zehlendorf, Schloßstraße;52.46444224862759;13.320278139844111
78;12165;Berlin;Berlin;4443;0.752;5908.24;43.0;Bezirk Steglitz-Zehlendorf, Schloßstraße;52.45766653912637;13.317369813824028
79;12167;Berlin;Berlin;10060;1.703;5907.22;43.0;Bezirk Steglitz-Zehlendorf, Steglitz;52.45067137763674;13.337059369920553
80;12169;Berlin;Berlin;11745;2.134;5503.75;43.0;Bezirk Steglitz-Zehlendorf, Steglitz;52.45688994277457;13.346338171283865
81;12203;Berlin;Berlin;15469;2.718;5691.32;43.0;Bezirk Steglitz-Zehlendorf, Drakestraße;52.44640363087201;13.31298780554493
82;12205;Berlin;Berlin;19949;3.412;5846.72;43.0;Bezirk Steglitz-Zehlendorf, Drakestraße;52.435097309908976;13.298248898736876
83;12207;Berlin;Berlin;25452;5.5;4627.64;43.1;Bezirk Steglitz-Zehlendorf, Ostpreußendamm;52.421792221188014;13.316361775099612
84;12209;Berlin;Berlin;20000;3.235;6182.38;43.0;Bezirk Steglitz-Zehlendorf, Ostpreußendamm;52.41931697189748;13.332360373115456
85;12247;Berlin;Berlin;21139;3.452;6123.7;43.0;Bezirk Steglitz-Zehlendorf, Lankwitz;52.44143951407153;13.34944679866028
86;12249;Berlin;Berlin;22879;3.792;6033.49;43.0;Bezirk Steglitz-Zehlendorf, Bezirk Tempelhof-Schöneberg, Lankwitz;52.42850815227472;13.354534208467085
87;12277;Berlin;Berlin;46693;7.6;6143.82;43.0;Bezirk Tempelhof-Schöneberg, Marienfelde;52.41354456346867;13.378044693441574
88;12279;Berlin;Berlin;9959;1.625;6128.62;43.0;Bezirk Tempelhof-Schöneberg, Marienfelde;52.41315589208735;13.355992438416196
89;12305;Berlin;Berlin;21902;3.497;6263.08;43.0;Bezirk Tempelhof-Schöneberg, Lichtenrade;52.4075610706165;13.405107865890267
90;12307;Berlin;Berlin;21426;4.167;5141.83;43.1;Bezirk Tempelhof-Schöneberg, Lichtenrade;52.38897003992183;13.399352088308683
